data_point,predicted,difference,hit,
13.3,0,13.3,0,
11.7,0,11.7,0,
11.1,2.66e-06,11.1,0,
10,1.06733e-05,9.99999,0,
10,2.94033e-05,9.99997,0,
10,6.3601e-05,9.99994,0,
7.2,0.000118963,7.19988,0,
7.2,0.000201287,7.1998,0,
7.2,0.000309573,7.19969,0,
6.1,0.000447786,6.09955,0,
6.7,0.000619964,6.69938,0,
4.4,0.000826206,4.39917,0,
10,0.00107227,9.99893,0,
9.4,0.0013518,9.39865,0,
9.4,0.001694,9.39831,0,
9.4,0.00210211,9.3979,0,
8.9,0.00258199,8.89742,0,
8.9,0.00313952,8.89686,0,
9.4,0.00377729,9.39622,0,
10,0.00450067,9.9955,0,
10.6,0.00531874,10.5947,0,
10.6,0.00624183,10.5938,0,
11.1,0.00728097,11.0927,0,
11.7,0.00844273,11.6916,0,
12.2,0.00973823,12.1903,0,
12.2,0.0111799,12.1888,0,
12.2,0.0127801,12.1872,0,
12.2,0.0145463,12.1855,0,
12.2,0.0164864,12.1835,0,
11.1,0.018608,11.0814,0,
10.6,0.0209188,10.5791,0,
10,0.0234737,9.97653,0,
9.4,0.0262834,9.37372,0,
8.3,0.029352,8.27065,0,
8.3,0.0326823,8.26732,0,
8.3,0.0362688,8.26373,0,
7.2,0.0401209,7.15988,0,
6.7,0.0442466,6.65575,0,
6.1,0.048643,6.05136,0,
5.6,0.053309,5.54669,0,
3.3,0.0582396,3.24176,0,
4.4,0.0634357,4.33656,0,
4.4,0.0688482,4.33115,0,
3.3,0.0745178,3.22548,0,
3.9,0.0804097,3.81959,0,
4.4,0.0864991,4.3135,0,
5,0.0927988,4.9072,0,
5,0.0993202,4.90068,0,
5,0.106085,4.89392,0,
7.2,0.113093,7.08691,0,
7.8,0.120339,7.67966,0,
7.8,0.127888,7.67211,0,
8.3,0.135755,8.16425,0,
8.9,0.143945,8.75605,0,
10,0.152473,9.84753,0,
10.6,0.161356,10.4386,0,
11.1,0.170635,10.9294,0,
10.6,0.180342,10.4197,0,
10.6,0.190507,10.4095,0,
10,0.201118,9.79888,0,
10,0.212183,9.78782,0,
8.9,0.223707,8.67629,0,
10,0.235711,9.76429,0,
8.9,0.248164,8.65184,0,
8.3,0.261146,8.03885,0,
8.3,0.27464,8.02536,0,
6.7,0.288623,6.41138,0,
7.2,0.303101,6.8969,0,
5,0.318023,4.68198,0,
4.4,0.333442,4.06656,0,
5,0.349246,4.65075,0,
3.9,0.365415,3.53458,0,
3.9,0.382078,3.51792,0,
4.4,0.399123,4.00088,0,
4.4,0.41655,3.98345,0,
5,0.434443,4.56556,0,
4.4,0.45278,3.94722,0,
6.7,0.471588,6.22841,0,
7.8,0.490796,7.3092,0,
7.8,0.510589,7.28941,0,
9.4,0.531069,8.86893,0,
10,0.552133,9.44787,0,
10.6,0.573893,10.0261,0,
11.7,0.596417,11.1036,0,
11.7,0.619744,11.0803,0,
11.7,0.643955,11.056,0,
11.7,0.669001,11.031,0,
10,0.694858,9.30514,0,
10.6,0.721502,9.8785,0,
9.4,0.748805,8.65119,0,
8.3,0.776832,7.52317,0,
8.3,0.805503,7.4945,0,
7.8,0.8347,6.9653,0,
7.8,0.864504,6.9355,0,
7.8,0.894771,6.90523,0,
7.8,0.925584,6.87442,0,
6.7,0.95699,5.74301,0,
5.6,0.98899,4.61101,0,
6.1,1.02158,5.07842,0,
5.6,1.05458,4.54542,0,
5.6,1.08825,4.51175,0,
6.1,1.12257,4.97743,0,
6.7,1.1575,5.5425,0,
7.2,1.19321,6.00679,0,
7.2,1.22979,5.97021,0,
7.8,1.26727,6.53273,0,
9.4,1.30566,8.09434,0,
9.4,1.345,8.055,0,
10,1.38561,8.61439,0,
10.6,1.42725,9.17275,0,
11.1,1.4699,9.63011,0,
12.2,1.51366,10.6863,0,
11.7,1.55845,10.1416,0,
11.7,1.60437,10.0956,0,
11.7,1.65128,10.0487,0,
11.1,1.69905,9.40095,0,
11.1,1.74766,9.35234,0,
10.6,1.79702,8.80298,0,
10,1.84713,8.15287,0,
10,1.8981,8.1019,0,
8.9,1.94976,6.95024,0,
8.9,2.00226,6.89774,0,
8.9,2.05555,6.84445,0,
7.8,2.10963,5.69037,0,
8.3,2.16457,6.13543,0,
8.3,2.22013,6.07987,0,
6.7,2.27643,4.42357,0,
6.7,2.33345,4.36655,0,
6.7,2.39102,4.30898,0,
7.2,2.44931,4.75069,0,
7.2,2.50825,4.69175,0,
6.7,2.56801,4.13199,0,
6.7,2.62859,4.07141,0,
9.4,2.68979,6.71021,0,
11.1,2.75149,8.34851,0,
11.1,2.81422,8.28578,0,
12.2,2.87841,9.32159,0,
13.3,2.94394,10.3561,0,
13.3,3.01078,10.2892,0,
14.4,3.07923,11.3208,0,
15,3.14916,11.8508,0,
13.3,3.22075,10.0793,0,
13.3,3.29406,10.0059,0,
12.2,3.36842,8.83158,0,
11.7,3.44392,8.25608,0,
12.2,3.52026,8.67974,0,
12.8,3.59729,9.20271,0,
11.1,3.67527,7.42473,0,
10.6,3.75436,6.84564,0,
10.6,3.83418,6.76582,0,
9.4,3.91471,5.48529,0,
8.9,3.99593,4.90407,0,
10,4.07774,5.92226,0,
10,4.15996,5.84004,0,
7.2,4.24291,2.95709,0,
8.3,4.32687,3.97313,0,
8.3,4.4108,3.8892,0,
7.2,4.49503,2.70497,0,
7.2,4.57996,2.62004,0,
7,4.66522,2.33478,0,
7.2,4.75078,2.44922,0,
8.9,4.83642,4.06358,0,
11,4.92219,6.07781,0,
10.6,5.00879,5.59121,0,
12.2,5.09695,7.10305,0,
12.2,5.18575,7.01425,0,
12.2,5.27525,6.92475,0,
13.3,5.36543,7.93457,0,
15,5.45594,9.54406,0,
14.4,5.54684,8.85316,0,
14.4,5.63874,8.76126,0,
15,5.73105,9.26895,0,
15,5.82358,9.17642,0,
13.9,5.91707,7.98293,0,
13.9,6.01151,7.88849,0,
13.3,6.10681,7.19319,0,
13.3,6.20312,7.09688,0,
12.8,6.30002,6.49998,0,
11.1,6.39728,4.70272,0,
11.1,6.49525,4.60475,0,
10,6.59338,3.40662,0,
10,6.69164,3.30836,0,
9.4,6.78997,2.61003,0,
8.9,6.88853,2.01147,0,
8.3,6.98661,1.31339,0,
10,7.08397,2.91603,0,
10,7.18137,2.81863,0,
8.9,7.27914,1.62086,0,
7.8,7.37726,0.42274,1,
7.2,7.47563,0.275632,1,
9.4,7.57351,1.82648,0,
11.1,7.67101,3.42899,0,
13.3,7.76894,5.53106,0,
13.3,7.86742,5.43258,0,
13.3,7.96665,5.33335,0,
12.8,8.06677,4.73323,0,
13.9,8.16708,5.73292,0,
14.4,8.26733,6.13267,0,
15,8.36804,6.63196,0,
